日期,Close,Open,High,Low,Volume,rate
2017年11月30日,177.08,179.53,179.8,176.32,25.85M,-1.57%
2017年11月29日,179.91,185.25,185.41,173.62,40.20M,-3.63%
2017年11月28日,186.69,188.83,189.1,186.5,13.38M,-0.71%
2017年11月27日,188.03,190.49,191.45,187.55,14.95M,-1.65%
2017年11月24日,191.19,189.39,191.7,188.7,9.89M,0.71%
2017年11月22日,189.84,191.54,191.75,189.37,14.42M,-0.56%
2017年11月21日,190.9,190.35,191.56,188.8,19.64M,1.54%
2017年11月20日,188,187.6,190,186.61,25.99M,1.55%
2017年11月17日,185.13,185.92,186.5,184.67,13.42M,-0.16%
2017年11月16日,185.43,183.31,186.27,183.12,18.39M,2.18%
2017年11月15日,181.48,179.37,181.88,176.74,16.57M,-0.17%
2017年11月14日,181.79,184.3,184.38,181.15,14.48M,-1.49%
2017年11月13日,184.54,186.77,187.88,184,17.19M,-1.00%
2017年11月10日,186.41,187.03,187.17,185.4,15.03M,0.69%
2017年11月9日,185.13,184.21,185.13,181.05,19.76M,-0.41%
2017年11月8日,185.9,187.98,188.15,185.1,13.94M,-1.38%
2017年11月7日,188.51,189.58,189.86,187,17.78M,0.36%
2017年11月6日,187.84,184.07,188.25,184,19.87M,2.53%
2017年11月3日,183.21,186.51,186.93,182.06,19.70M,-0.87%
2017年11月2日,184.81,190.99,191.22,183.31,41.24M,-0.68%
2017年11月1日,186.08,187.88,188.88,183.58,28.59M,0.64%
2017年10月31日,184.89,183.57,185.12,181.81,21.26M,1.82%
2017年10月30日,181.58,178.43,181.9,177.59,20.22M,3.08%
2017年10月27日,176.15,173.19,177,171.11,19.71M,3.42%
2017年10月26日,170.32,170.62,171.45,168.58,13.53M,0.06%
2017年10月25日,170.22,174.69,175.44,169.3,18.11M,-2.00%
2017年10月24日,173.7,174,175.98,173.26,11.95M,0.33%
2017年10月23日,173.13,177.8,178.01,173.05,17.61M,-2.36%
2017年10月20日,177.32,179.02,179.52,177.08,11.95M,-0.34%
2017年10月19日,177.93,177,179.61,175.45,13.54M,-0.94%
2017年10月18日,179.61,177.09,180,176.28,21.77M,2.45%
2017年10月17日,175.32,179.58,180.12,175.3,20.13M,-2.36%
